age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,Non-Private,77516,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,2174,0,40,US,0
50,Non-Private,83311,13,Married,Managerial-Specialist,Husband,White,Male,0,0,13,US,0
38,Private,215646,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
53,Private,234721,7,Married,Other,Husband,Non-White,Male,0,0,40,US,0
28,Private,338409,13,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
37,Private,284582,14,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
49,Private,160187,5,Non-Married,Other,Non-Husband,Non-White,Female,0,0,16,Non-US,0
52,Non-Private,209642,9,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
31,Private,45781,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,14084,0,50,US,1
42,Private,159449,13,Married,Managerial-Specialist,Husband,White,Male,5178,0,40,US,1
37,Private,280464,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,80,US,1
30,Non-Private,141297,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
23,Private,122272,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,30,US,0
32,Private,205019,12,Non-Married,Other,Non-Husband,Non-White,Male,0,0,50,US,0
40,Private,121772,11,Married,Other,Husband,Non-White,Male,0,0,40,US,1
34,Private,245487,4,Married,Other,Husband,Non-White,Male,0,0,45,Non-US,0
25,Non-Private,176756,9,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
32,Private,186824,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
38,Private,28887,7,Married,Other,Husband,White,Male,0,0,50,US,0
43,Non-Private,292175,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,1
40,Private,193524,16,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
54,Private,302146,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,20,US,0
35,Non-Private,76845,5,Married,Other,Husband,Non-White,Male,0,0,40,US,0
43,Private,117037,7,Married,Other,Husband,White,Male,0,2042,40,US,0
59,Private,109015,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
56,Non-Private,216851,13,Married,Other,Husband,White,Male,0,0,40,US,1
19,Private,168294,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
54,Private,180211,10,Married,Other,Husband,Non-White,Male,0,0,60,Non-US,1
39,Private,367260,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,80,US,0
49,Private,193366,9,Married,Other,Husband,White,Male,0,0,40,US,0
23,Non-Private,190709,12,Non-Married,Other,Non-Husband,White,Male,0,0,52,US,0
20,Private,266015,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,44,US,0
45,Private,386940,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,1408,40,US,0
30,Non-Private,59951,10,Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
22,Non-Private,311512,10,Married,Other,Husband,Non-White,Male,0,0,15,US,0
48,Private,242406,7,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,0
21,Private,197200,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
19,Private,544091,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,0
